Designator,Mid X,Mid Y,Layer,Rotation
R7008,92.2479,31.7143,TopLayer,90
R7007,100.3303,44.1343,TopLayer,180
R7009,84.1961,35.2521,TopLayer,90
R7006,102.7453,46.9107,TopLayer,0
R7004,91.2479,31.7143,TopLayer,270
R7003,100.3303,45.1343,TopLayer,0
R7002,100.1727,12.7985,TopLayer,0
R7001,100.1799,9.8267,TopLayer,0
R7000,100.3303,43.0343,TopLayer,0
R6022,68.3465,56.9183,TopLayer,90
R6021,75.2729,62.4605,TopLayer,180
R6020,76.6191,60.7841,TopLayer,180
R6019,73.5535,59.7377,TopLayer,0
R6018,66.3503,53.7157,TopLayer,90
L7000,99.1993,36.4343,TopLayer,180
FB7000,100.3303,40.7343,TopLayer,0
C7018,70.4323,34.0918,TopLayer,270
C7017,68.7813,34.0664,TopLayer,270
C7016,83.7925,27.3037,TopLayer,0
C7015,93.3909,33.2201,TopLayer,315
C7014,87.0801,44.0796,TopLayer,90
C7013,88.07,44.0796,TopLayer,90
C7012,98.3683,36.7153,TopLayer,90
C7011,100.0183,36.7153,TopLayer,90
C7010,99.1541,34.6105,TopLayer,270
C7009,98.1541,34.6105,TopLayer,270
C7008,97.1541,34.6105,TopLayer,270
C7007,91.5367,35.2267,TopLayer,270
C7006,93.4163,46.2503,TopLayer,90
C7005,102.5703,39.1343,TopLayer,270
C7004,101.1903,39.1343,TopLayer,270
C7003,100.1603,39.0443,TopLayer,270
C7002,99.1603,39.0443,TopLayer,270
C7001,95.7785,32.9915,TopLayer,225
C7000,100.3303,41.9343,TopLayer,0
FB6003,59.8121,56.7659,BottomLayer,270
FB6002,73.6655,61.2413,BottomLayer,0
FB6001,60.1301,68.3737,BottomLayer,180
FB6000,56.5459,57.2921,TopLayer,90
R4011,55.456,15.0845,TopLayer,0
R4010,26.6651,15.0845,TopLayer,0
R4009,60.1042,15.0845,TopLayer,0
R4008,31.3133,15.0845,TopLayer,0
R4007,65.053,15.0845,TopLayer,0
R4006,36.2621,15.0845,TopLayer,0
R4005,69.7012,15.0845,TopLayer,0
R4004,40.9103,15.0845,TopLayer,0
R4003,74.65,15.0845,TopLayer,0
R4001,79.2982,15.0845,TopLayer,0
R4000,50.5073,15.0845,TopLayer,0
R4002,45.8591,15.0845,TopLayer,0
D4005,57.8563,11.9603,TopLayer,90
D4004,29.0781,11.9603,TopLayer,90
D4003,67.4491,11.9603,TopLayer,90
D4002,38.6709,11.9603,TopLayer,90
D4001,77.0418,11.9603,TopLayer,90
D4000,48.2636,11.9603,TopLayer,90
C4023,61.5393,18.3103,TopLayer,90
C4022,32.9135,18.3483,TopLayer,90
C4015,71.0897,18.3103,TopLayer,90
C4014,42.3369,18.3357,TopLayer,90
C4007,80.7925,18.3357,TopLayer,90
C4006,51.8873,18.2849,TopLayer,90
U1000,23.9523,85.8943,TopLayer,0
Y6000,75.1641,69.3693,TopLayer,90
Y3001,50.5317,55.1911,BottomLayer,180
Y3000,44.8515,55.5721,BottomLayer,180
U5005,16.7747,28.7857,TopLayer,180
U5004,16.7747,45.6139,TopLayer,180
U5003,16.8255,19.9891,TopLayer,180
U5002,16.8255,37.5967,TopLayer,180
U5001,16.7591,10.6649,TopLayer,180
U5000,16.7591,52.9559,TopLayer,180
U4005,57.726,20.4767,TopLayer,270
U4004,28.9445,20.4767,TopLayer,270
U4003,67.3199,20.4767,TopLayer,270
U4002,38.5384,20.4767,TopLayer,270
U4001,76.9137,20.4767,TopLayer,270
U4000,48.1322,20.4767,TopLayer,270
U3000,49.7159,43.4691,BottomLayer,270
U2001,47.3153,72.6663,TopLayer,0
U2000,39.4161,78.4575,TopLayer,0
U1001,18.1561,68.1959,TopLayer,0
SW3000,44.4197,55.7499,TopLayer,180
R6017,78.2525,61.2871,TopLayer,90
R6016,108.2499,90.5225,TopLayer,270
R6015,98.4455,75.5111,BottomLayer,270
R6012,77.3889,75.5111,BottomLayer,270
R6011,63.0229,55.4501,TopLayer,90
R6010,62.0069,55.4501,TopLayer,90
R6009,60.6607,55.4501,TopLayer,90
R6008,59.6447,55.4501,TopLayer,90
R6007,54.0749,58.1425,TopLayer,0
R6006,54.0749,59.1585,TopLayer,0
R6005,54.0749,60.5555,TopLayer,0
R6004,54.0749,61.5715,TopLayer,0
R6003,54.0749,63.0193,TopLayer,0
R6002,54.0749,64.0353,TopLayer,0
R6001,54.0749,65.4577,TopLayer,0
R6000,54.0749,66.4737,TopLayer,0
R5011,21.3057,28.7497,TopLayer,270
R5010,21.3057,45.5319,TopLayer,270
R5009,11.9331,28.7497,TopLayer,270
R5008,11.9331,45.6005,TopLayer,270
R5007,21.3565,19.8851,TopLayer,270
R5006,21.4835,37.5127,TopLayer,270
R5005,11.9331,19.9359,TopLayer,270
R5004,11.9331,37.5889,TopLayer,270
R5003,21.2041,10.6395,TopLayer,270
R5000,11.9331,52.9559,TopLayer,270
R5002,21.3057,52.8035,TopLayer,270
R5001,11.9331,10.6395,TopLayer,270
R3002,2.4081,71.9805,TopLayer,270
R3001,3.5003,71.9805,TopLayer,270
R2007,43.5815,65.1733,TopLayer,90
R2006,45.8929,65.8337,TopLayer,0
R2005,39.9747,60.4997,TopLayer,90
R2004,41.9813,60.4997,TopLayer,270
R2003,41.3717,79.8799,TopLayer,270
R2002,41.2701,83.3597,TopLayer,180
R2001,42.6671,80.3625,TopLayer,270
R2000,39.2127,83.3597,TopLayer,180
R1004,25.5475,82.5215,TopLayer,0
R1003,21.6105,82.8771,TopLayer,180
R1002,30.6783,84.8837,TopLayer,270
R1001,28.1891,82.5977,TopLayer,0
R1000,18.7403,85.2139,TopLayer,0
D1000,3.6273,99.3109,TopLayer,90
CN5000,4.9494,56.1633,TopLayer,90
CN4000,38.6696,4.9961,TopLayer,180
C6024,67.2035,72.4885,TopLayer,90
C6023,69.5403,68.0253,BottomLayer,270
C6022,62.5045,72.0567,TopLayer,90
C6021,73.1829,66.2197,TopLayer,0
C6020,58.5167,65.0463,TopLayer,180
C6019,65.6033,68.0253,BottomLayer,270
C6018,69.5325,65.0259,BottomLayer,180
C6017,70.5921,66.0927,BottomLayer,180
C6016,62.5735,67.0529,BottomLayer,0
C6015,61.1329,87.2967,BottomLayer,90
C6014,62.1743,87.2967,BottomLayer,90
C6013,71.8263,87.2967,BottomLayer,90
C6012,72.8677,87.2967,BottomLayer,90
C6011,75.1387,72.1633,TopLayer,0
C6010,77.5771,69.3439,TopLayer,90
C6009,57.4499,55.0895,TopLayer,0
C6008,106.3703,89.7351,TopLayer,90
C6007,88.6919,87.2967,BottomLayer,90
C6006,89.7333,87.2967,BottomLayer,90
C6005,95.7277,87.2967,BottomLayer,90
C6004,94.6863,87.2967,BottomLayer,90
C6003,74.7219,87.2967,BottomLayer,90
C6002,75.7633,87.2967,BottomLayer,90
C6001,86.1519,87.2967,BottomLayer,90
C6000,87.1933,87.2967,BottomLayer,90
C5011,12.0093,26.4637,TopLayer,180
C5010,14.5057,25.2953,TopLayer,0
C5009,12.0093,43.2531,TopLayer,180
C5008,14.4731,42.2625,TopLayer,0
C5007,12.0093,17.6245,TopLayer,180
C5006,14.5493,16.4815,TopLayer,0
C5005,14.5239,34.1599,TopLayer,0
C5004,12.0093,35.2267,TopLayer,180
C5003,12.0093,8.2265,TopLayer,180
C5002,14.4985,7.1343,TopLayer,0
C5001,12.0093,50.6953,TopLayer,180
C5000,14.4731,49.6285,TopLayer,0
C4021,54.4504,18.4767,TopLayer,90
